id;place_name;address;phone_number;email;representative_name
1;Regional Tasty optical;open-source National protocol;solid state;Baron.Beier86@hotmail.com;2020-11-30T01:01:58
2;Human connect;Coordinator;Implementation;Karianne25@yahoo.com;2020-11-29T18:45:36
3;synthesize Ergonomic Total;Borders;Paraguay Factors;Eloise_Weimann3@yahoo.com;2020-11-30T09:07:34
4;Ethiopia;Mouse Associate;Synergistic;Romaine.Cummerata71@yahoo.com;2020-11-30T10:43:05
5;infomediaries SDD capacitor;backing up Profit-focused;bluetooth card Outdoors;Mariana69@hotmail.com;2020-11-30T12:59:42
6;ADP Credit Card Account;Cambridgeshire violet;Indiana PCI;Sydni_Prohaska@hotmail.com;2020-11-29T19:24:37
7;Yemeni Rial;solution-oriented wireless;algorithm United Kingdom;Geoffrey45@gmail.com;2020-11-30T13:30:45
8;gold;Implementation;solution;Telly7@yahoo.com;2020-11-29T19:01:39
9;firewall Square;interface;Russian Federation Auto Loan Account payment;Susie.Wilderman@gmail.com;2020-11-30T13:57:19
10;capacitor Handcrafted Frozen Pants transmitter;viral Frozen;Manager;Amy_Cremin@gmail.com;2020-11-29T17:58:40
