id;purchase_date;equipment_name;technical_features;serial_number;note;user_id;equipment_group_id;equipment_type_id;area_id
1;2020-11-30T02:44:41;Swiss Franc monitor;purple;User-friendly Group;Bacon Underpass;1;1;1;1
2;2020-11-30T08:46:48;Face to face SSL user-centric;Group Kansas olive;application Regional;Chicken;2;2;2;2
3;2020-11-30T05:26:38;Light;implementation structure;reboot Granite;firewall payment;3;3;3;3
4;2020-11-30T13:52:27;Intuitive Home Loan Account SDD;disintermediate;Avon deliver;Salad Auto Loan Account EXE;4;4;4;4
5;2020-11-30T01:02:02;Fantastic Cotton Keyboard;Savings Account cyan Metal;protocol;Libyan Dinar wireless;5;5;5;5
6;2020-11-30T10:28:39;Chicken RSS Cambridgeshire;ADP Agent;supply-chains invoice magnetic;National Communications Incredible Frozen Towels;6;6;6;6
7;2020-11-30T10:00:04;navigate invoice;systems Principal bifurcated;e-business grey;throughput morph;7;7;7;7
8;2020-11-29T16:18:46;Vision-oriented Car New York;digital;orchid;Outdoors Kwanza Security;8;8;8;8
9;2020-11-29T17:30:07;panel;system engine disintermediate synergies;Investment Account Integration;Serbian Dinar conglomeration reboot;9;9;9;9
10;2020-11-30T02:02:55;Baby;bandwidth frame;digital Refined Wooden Chair;Buckinghamshire;10;10;10;10
