id;start_date;expected_end_date;actual_end_date;price;note;user_id;action_type_id;place_to_perform_id;equipment_id
1;2020-11-29T19:06:58;2020-11-30T05:48:28;2020-11-30T03:14:30;82555;Pennsylvania virtual;1;1;1;1
2;2020-11-30T00:07:58;2020-11-30T02:13:25;2020-11-29T18:17:11;12910;Technician multi-byte Gloves;2;2;2;2
3;2020-11-29T16:17:04;2020-11-30T14:13:59;2020-11-30T08:27:43;41861;Groves Soft Corporate;3;3;3;3
4;2020-11-30T12:37:21;2020-11-29T17:50:47;2020-11-29T18:18:50;5456;benchmark New Hampshire artificial intelligence;4;4;4;4
5;2020-11-29T16:04:54;2020-11-30T08:44:12;2020-11-29T18:44:53;46855;Expanded Glens;5;5;5;5
6;2020-11-30T03:55:46;2020-11-30T09:50:02;2020-11-29T17:18:17;84237;deposit;6;6;6;6
7;2020-11-29T20:49:32;2020-11-29T21:38:06;2020-11-30T13:28:01;31058;withdrawal THX;7;7;7;7
8;2020-11-30T05:05:31;2020-11-29T18:22:41;2020-11-30T04:09:48;1765;Tasty array;8;8;8;8
9;2020-11-30T05:45:37;2020-11-30T06:09:40;2020-11-30T13:57:02;17815;primary ivory tan;9;9;9;9
10;2020-11-30T10:52:41;2020-11-30T03:14:17;2020-11-29T20:34:36;74692;cross-platform mindshare;10;10;10;10
