id;activity;date;user_id;equipment_id
1;Table;2020-11-30T04:47:30;1;1
2;Distributed Engineer;2020-11-30T03:01:10;2;2
3;communities Buckinghamshire;2020-11-30T04:28:43;3;3
4;compressing Regional Object-based;2020-11-30T10:11:00;4;4
5;Team-oriented Total Movies;2020-11-30T06:32:46;5;5
6;synergize Assurance;2020-11-29T18:50:10;6;6
7;cross-platform;2020-11-30T09:23:24;7;7
8;Plastic bricks-and-clicks;2020-11-30T06:56:06;8;8
9;fuchsia;2020-11-29T21:13:12;9;9
10;Borders Reactive sensor;2020-11-30T04:18:16;10;10
