id;activity;date;user_id;equipment_id
1;Table;2020-11-30T01:37:22;1;1
2;Distributed Engineer;2020-11-29T23:51:02;2;2
3;communities Buckinghamshire;2020-11-30T01:18:35;3;3
4;compressing Regional Object-based;2020-11-30T07:00:52;4;4
5;Team-oriented Total Movies;2020-11-30T03:22:38;5;5
6;synergize Assurance;2020-11-29T15:40:02;6;6
7;cross-platform;2020-11-30T06:13:16;7;7
8;Plastic bricks-and-clicks;2020-11-30T03:45:58;8;8
9;fuchsia;2020-11-29T18:03:04;9;9
10;Borders Reactive sensor;2020-11-30T01:08:08;10;10
