id;start_date;expected_end_date;actual_end_date;price;note;user_id;action_type_id;place_to_perform_id;equipment_id
1;2020-12-02T06:16:02;2020-12-02T16:57:32;2020-12-02T14:23:34;82555;Pennsylvania virtual;1;1;1;1
2;2020-12-02T11:17:02;2020-12-02T13:22:29;2020-12-02T05:26:15;12910;Technician multi-byte Gloves;2;2;2;2
3;2020-12-02T03:26:08;2020-12-03T01:23:03;2020-12-02T19:36:47;41861;Groves Soft Corporate;3;3;3;3
4;2020-12-02T23:46:25;2020-12-02T04:59:51;2020-12-02T05:27:54;5456;benchmark New Hampshire artificial intelligence;4;4;4;4
5;2020-12-02T03:13:58;2020-12-02T19:53:16;2020-12-02T05:53:57;46855;Expanded Glens;5;5;5;5
6;2020-12-02T15:04:50;2020-12-02T20:59:06;2020-12-02T04:27:21;84237;deposit;6;6;6;6
7;2020-12-02T07:58:36;2020-12-02T08:47:10;2020-12-03T00:37:05;31058;withdrawal THX;7;7;7;7
8;2020-12-02T16:14:35;2020-12-02T05:31:45;2020-12-02T15:18:52;1765;Tasty array;8;8;8;8
9;2020-12-02T16:54:41;2020-12-02T17:18:44;2020-12-03T01:06:06;17815;primary ivory tan;9;9;9;9
10;2020-12-02T22:01:45;2020-12-02T14:23:21;2020-12-02T07:43:40;74692;cross-platform mindshare;10;10;10;10
