id;start_date;expected_end_date;actual_end_date;price;note;user_id;action_type_id;place_to_perform_id;equipment_id
1;2020-11-29T15:57:50;2020-11-30T02:39:20;2020-11-30T00:05:22;82555;Pennsylvania virtual;1;1;1;1
2;2020-11-29T20:58:50;2020-11-29T23:04:17;2020-11-29T15:08:03;12910;Technician multi-byte Gloves;2;2;2;2
3;2020-11-29T13:07:56;2020-11-30T11:04:51;2020-11-30T05:18:35;41861;Groves Soft Corporate;3;3;3;3
4;2020-11-30T09:28:13;2020-11-29T14:41:39;2020-11-29T15:09:42;5456;benchmark New Hampshire artificial intelligence;4;4;4;4
5;2020-11-29T12:55:46;2020-11-30T05:35:04;2020-11-29T15:35:45;46855;Expanded Glens;5;5;5;5
6;2020-11-30T00:46:38;2020-11-30T06:40:54;2020-11-29T14:09:09;84237;deposit;6;6;6;6
7;2020-11-29T17:40:24;2020-11-29T18:28:58;2020-11-30T10:18:53;31058;withdrawal THX;7;7;7;7
8;2020-11-30T01:56:23;2020-11-29T15:13:33;2020-11-30T01:00:40;1765;Tasty array;8;8;8;8
9;2020-11-30T02:36:29;2020-11-30T03:00:32;2020-11-30T10:47:54;17815;primary ivory tan;9;9;9;9
10;2020-11-30T07:43:33;2020-11-30T00:05:09;2020-11-29T17:25:28;74692;cross-platform mindshare;10;10;10;10
