id;activity;date;user_id;equipment_id
1;Table;2020-12-02T15:56:34;1;1
2;Distributed Engineer;2020-12-02T14:10:14;2;2
3;communities Buckinghamshire;2020-12-02T15:37:47;3;3
4;compressing Regional Object-based;2020-12-02T21:20:04;4;4
5;Team-oriented Total Movies;2020-12-02T17:41:50;5;5
6;synergize Assurance;2020-12-02T05:59:14;6;6
7;cross-platform;2020-12-02T20:32:28;7;7
8;Plastic bricks-and-clicks;2020-12-02T18:05:10;8;8
9;fuchsia;2020-12-02T08:22:16;9;9
10;Borders Reactive sensor;2020-12-02T15:27:20;10;10
