id;place_name;address;phone_number;email;representative_name
1;Regional Tasty optical;open-source National protocol;solid state;Baron.Beier86@hotmail.com;2020-12-02T12:11:02
2;Human connect;Coordinator;Implementation;Karianne25@yahoo.com;2020-12-02T05:54:40
3;synthesize Ergonomic Total;Borders;Paraguay Factors;Eloise_Weimann3@yahoo.com;2020-12-02T20:16:38
4;Ethiopia;Mouse Associate;Synergistic;Romaine.Cummerata71@yahoo.com;2020-12-02T21:52:09
5;infomediaries SDD capacitor;backing up Profit-focused;bluetooth card Outdoors;Mariana69@hotmail.com;2020-12-03T00:08:46
6;ADP Credit Card Account;Cambridgeshire violet;Indiana PCI;Sydni_Prohaska@hotmail.com;2020-12-02T06:33:41
7;Yemeni Rial;solution-oriented wireless;algorithm United Kingdom;Geoffrey45@gmail.com;2020-12-03T00:39:49
8;gold;Implementation;solution;Telly7@yahoo.com;2020-12-02T06:10:43
9;firewall Square;interface;Russian Federation Auto Loan Account payment;Susie.Wilderman@gmail.com;2020-12-03T01:06:23
10;capacitor Handcrafted Frozen Pants transmitter;viral Frozen;Manager;Amy_Cremin@gmail.com;2020-12-02T05:07:44
